,Date,views,likes,dislikes,comment_count,s&p_Open,s&p_High,s&p_Low,s&p_Close,s&p_Adj Close,s&p_Volume,dow_Open,dow_High,dow_Low,dow_Close,dow_Adj Close,dow_Volume,etc_Open,etc_High,etc_Low,etc_Close,etc_Adj Close,etc_Volume,btc_Open,btc_High,btc_Low,btc_Close,btc_Adj Close,btc_Volume
99,2018-02-23,275609399,8920335,442656,1102236,2715.800049,2747.76001,2713.73999,2747.300049,2747.300049,3189190000.0,25050.509766,25313.910156,25028.730469,25309.990234,25309.990234,335420000.0,804.6099849999999,882.419983,787.969971,854.7000119999999,854.7000119999999,340134173,9847.959961,10420.669922,9604.0,10175.509766,10175.509766,1399448203
100,2018-02-24,267398542,9144226,309865,1113875,,,,,,,,,,,,,854.7000119999999,874.7199710000001,810.6400150000001,833.48999,833.48999,255866976,10175.509766,10528.0,9396.540039,9705.730469,9705.730469,1244484468
101,2018-02-25,269273227,8371938,468088,1094805,,,,,,,,,,,,,833.48999,849.5200199999999,818.549988,840.2800289999999,840.2800289999999,171228507,9705.730469,9873.790039,9329.44043,9610.110352,9610.110352,793093192
102,2018-02-26,248921980,8684204,451243,1163312,2757.3701170000004,2780.639893,2753.780029,2779.600098,2779.600098,3424650000.0,25403.349609,25732.800781,25398.560547,25709.269531,25709.269531,473360000.0,840.2800289999999,880.1199949999999,834.0599980000001,867.6199949999999,867.6199949999999,247282448,9610.110352,10457.509766,9411.820313,10326.5,10326.5,1181729273
103,2018-02-27,240118802,9306545,441577,1246561,2780.449951,2789.149902,2744.219971,2744.280029,2744.280029,3745080000.0,25735.779297,25800.349609,25407.830078,25410.029297,25410.029297,438390000.0,867.6199949999999,894.919983,861.7199710000001,871.580017,871.580017,201082786,10326.5,10879.379883,10154.240234,10594.759766,10594.759766,1060840699
104,2018-02-28,228959407,9099425,436303,1290226,2753.780029,2761.52002,2713.540039,2713.830078,2713.830078,4230660000.0,25485.150391,25576.150391,25022.419922,25029.199219,25029.199219,451870000.0,871.590027,887.51001,850.580017,851.5,851.5,195669597,10594.759766,11067.759766,10303.139648,10334.44043,10334.44043,1126074675
105,2018-03-01,221846946,9291289,259246,1219245,2715.219971,2730.889893,2659.649902,2677.669922,2677.669922,4503970000.0,25024.039063,25185.349609,24442.560547,24608.980469,24608.980469,506280000.0,851.5,880.2100220000001,846.7199710000001,869.8699949999999,869.8699949999999,182033011,10334.44043,11090.299805,10247.55957,10929.370117,10929.370117,952472120
106,2018-03-02,214369321,10090726,238498,1504914,2658.889893,2696.25,2647.320068,2691.25,2691.25,3882450000.0,24394.910156,24592.460938,24217.759766,24538.060547,24538.060547,437130000.0,869.840027,876.5599980000001,849.98999,855.599976,855.599976,135957233,10929.370117,11191.94043,10801.450195,11043.120117,11043.120117,852908489
107,2018-03-03,238248343,10863408,276293,1608245,,,,,,,,,,,,,855.599976,867.4400019999999,852.8599849999999,855.650024,855.650024,94471138,11043.120117,11530.660156,11043.120117,11465.360352,11465.360352,812200126
108,2018-03-04,246275268,11110230,297313,1615172,,,,,,,,,,,,,855.650024,867.340027,838.3599849999999,864.830017,864.830017,99578403,11465.360352,11539.790039,11084.009766,11504.419922,11504.419922,690727335
